# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "6"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;2.79961;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;2.79961;169.337;-0.0816965;-0.0816965;-0.0816965;-0.208969;12.6336;177.344;
0.2;2.79961;883.459;-0.199903;-0.199903;-0.199903;0.183461;19.2993;480.493;
0.3;2.79961;1551.69;-0.126036;-0.126036;-0.126036;0.206442;23.9745;657.335;
0.4;2.79961;2614.05;0.0132519;0.0132519;0.0132519;-0.298643;26.6123;953.305;
0.5;2.79961;3599.64;0.0726417;0.0726417;0.0726417;-0.428763;29.0488;1188.02;
0.6;2.79961;4542.04;-0.0355309;-0.0355309;-0.0355309;0.156929;32.4751;1372.43;
0.7;2.79961;5845.5;-0.142622;-0.142622;-0.142622;0.174653;35.2384;1622.8;
0.8;2.79961;6956.02;-0.0505351;-0.0505351;-0.0505351;-0.74019;36.4482;1799.6;
0.9;2.79961;8566.42;-0.0446242;-0.0446242;-0.0446242;-0.15357;39.2718;2099.83;
1;5.59011;9868.5;-0.0371008;-0.0371008;-0.0371008;0.443217;41.8084;2295.84;
1.1;5.59011;22133.6;-0.036484;-0.036484;-0.036484;0.149765;55.81;3818.43;
1.2;5.59011;40435.8;0.00589784;0.00589784;0.00589784;0.0187335;66.9094;5801.55;
1.3;5.59011;59505.4;0.0188772;0.0188772;0.0188772;0.719127;77.2015;7495.58;
1.4;5.59011;80690.2;-0.0671478;-0.0671478;-0.0671478;0.657151;84.9188;9220.5;
1.5;5.59011;102623;-0.1421;-0.1421;-0.1421;1.39046;92.6428;10861;
1.6;5.59011;125875;-0.132932;-0.132932;-0.132932;1.15466;98.3122;12495.6;
1.7;5.59011;148223;-0.0111738;-0.0111738;-0.0111738;1.38247;104.073;13930.7;
1.8;5.59011;171267;0.0511224;0.0511224;0.0511224;1.07055;108.472;15369.3;
1.9;5.59011;192571;0.0922403;0.0922403;0.0922403;1.30693;113;16628.8;
2;5.09645;212302;-0.0266415;-0.0266415;-0.0266415;0.402471;115.47;17737.7;
2.1;5.09645;224049;-0.12563;-0.12563;-0.12563;0.518188;117.665;18393.7;
2.2;5.09645;240253;-0.127996;-0.127996;-0.127996;1.27539;120.683;19399.4;
2.3;5.09645;246688;-0.00266111;-0.00266111;-0.00266111;2.06479;123.528;19631.8;
2.4;5.09645;257418;0.0446785;0.0446785;0.0446785;1.82338;124.677;20236.3;
2.5;5.09645;268857;0.0324008;0.0324008;0.0324008;1.86209;126.069;20906.3;
2.6;5.09645;276505;0.076777;0.076777;0.076777;2.05974;127.62;21281.3;
2.7;5.09645;285846;0.121949;0.121949;0.121949;1.07479;127.447;21789.9;
2.8;5.09645;290951;0.0900682;0.0900682;0.0900682;0.783037;128.117;21990.9;
2.9;5.09645;297285;0.00467089;0.00467089;0.00467089;0.700119;128.95;22302.9;
3;4.91011;305300;-0.0374778;-0.0374778;-0.0374778;0.939953;130.181;22745.3;
3.1;4.91011;307795;-0.0918088;-0.0918088;-0.0918088;1.54145;131.491;22848.2;
3.2;4.91011;310100;0.0545897;0.0545897;0.0545897;1.48038;131.817;22946.5;
3.3;4.91011;310258;0.103901;0.103901;0.103901;1.63003;132.336;22903.5;
3.4;4.91011;316835;0.0207681;0.0207681;0.0207681;1.89313;132.963;23342.4;
