# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "1"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;11.7996;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;11.7996;170993;-0.0816965;-0.0816965;-0.0816965;0.891536;112.798;14713.1;
0.2;11.7996;522204;-0.199903;-0.199903;-0.199903;1.71106;164.86;32763.6;
0.3;11.7996;641628;-0.126036;-0.126036;-0.126036;2.04723;202.533;48851.4;
0.4;11.7996;725207;0.0132519;0.0132519;0.0132519;1.80415;228.16;65548.4;
0.5;11.7996;790139;0.0726417;0.0726417;0.0726417;1.90043;248.432;81123.3;
0.6;11.7996;857128;-0.0355309;-0.0355309;-0.0355309;2.68721;270.36;95853;
0.7;11.7996;929234;-0.142622;-0.142622;-0.142622;2.88824;293.113;111134;
0.8;11.7996;994276;-0.0505351;-0.0505351;-0.0505351;2.14264;312.333;125804;
0.9;11.7996;1.04536e+06;-0.0446242;-0.0446242;-0.0446242;2.88777;329.251;141032;
1;14.5901;1.08926e+06;-0.0371008;-0.0371008;-0.0371008;3.63364;343.889;155159;
1.1;14.5901;1.18921e+06;-0.036484;-0.036484;-0.036484;3.5222;374.818;182143;
1.2;14.5901;1.28634e+06;0.00589784;0.00589784;0.00589784;3.57821;405.133;213183;
1.3;14.5901;1.37462e+06;0.0188772;0.0188772;0.0188772;4.46161;433.847;242358;
1.4;14.5901;1.45181e+06;-0.0671478;-0.0671478;-0.0671478;4.57925;458.014;271951;
1.5;14.5901;1.52256e+06;-0.1421;-0.1421;-0.1421;5.48786;481.273;301225;
1.6;14.5901;1.59289e+06;-0.132932;-0.132932;-0.132932;5.42224;503.057;330780;
1.7;14.5901;1.66236e+06;-0.0111738;-0.0111738;-0.0111738;5.81373;525.226;359370;
1.8;14.5901;1.7268e+06;0.0511224;0.0511224;0.0511224;5.65993;545.066;388016;
1.9;14.5901;1.78507e+06;0.0922403;0.0922403;0.0922403;6.05048;563.73;415795;
2;14.0965;1.84059e+06;-0.0266415;-0.0266415;-0.0266415;5.29639;579.939;443000;
2.1;14.0965;1.89019e+06;-0.12563;-0.12563;-0.12563;5.55277;595.728;467345;
2.2;14.0965;1.93954e+06;-0.127996;-0.127996;-0.127996;6.44771;612.343;493392;
2.3;14.0965;1.98516e+06;-0.00266111;-0.00266111;-0.00266111;7.37056;627.822;515426;
2.4;14.0965;2.02771e+06;0.0446785;0.0446785;0.0446785;7.25899;640.897;539265;
2.5;14.0965;2.06989e+06;0.0324008;0.0324008;0.0324008;7.42426;654.245;563369;
2.6;14.0965;2.11207e+06;0.076777;0.076777;0.076777;7.74511;667.821;585893;
2.7;14.0965;2.15259e+06;0.121949;0.121949;0.121949;6.88071;679.219;609164;
2.8;14.0965;2.19077e+06;0.0900682;0.0900682;0.0900682;6.70695;690.848;630654;
2.9;14.0965;2.22829e+06;0.00467089;0.00467089;0.00467089;6.74015;702.563;652740;
3;13.9101;2.2662e+06;-0.0374778;-0.0374778;-0.0374778;7.09442;714.855;675609;
3.1;13.9101;2.3014e+06;-0.0918088;-0.0918088;-0.0918088;7.80617;726.804;696282;
3.2;13.9101;2.33489e+06;0.0545897;0.0545897;0.0545897;7.85342;737.286;716860;
3.3;13.9101;2.36695e+06;0.103901;0.103901;0.103901;8.10803;747.612;736278;
3.4;13.9101;2.39908e+06;0.0207681;0.0207681;0.0207681;8.47422;758.118;758305;
3.5;13.9101;2.43101e+06;0.0378017;0.0378017;0.0378017;8.46647;768.042;779324;
3.6;13.9101;2.46172e+06;0.0669297;0.0669297;0.0669297;7.97125;776.901;798619;
3.7;13.9101;2.49148e+06;-0.0260176;-0.0260176;-0.0260176;7.59458;785.631;817394;
3.8;13.9101;2.5213e+06;-0.0534685;-0.0534685;-0.0534685;8.73304;796.499;837506;
3.9;13.9101;2.55083e+06;0.086233;0.086233;0.086233;9.18067;806.312;857946;
4;13.5451;2.57907e+06;0.195377;0.195377;0.195377;8.37153;813.97;876393;
4.1;13.5451;2.60302e+06;0.0690572;0.0690572;0.0690572;8.92725;822.196;892979;
4.2;13.5451;2.62709e+06;-0.05117;-0.05117;-0.05117;8.37822;828.912;909179;
4.3;13.5451;2.65156e+06;-0.0898001;-0.0898001;-0.0898001;9.10383;837.542;926193;
4.4;13.5451;2.67562e+06;-0.0598355;-0.0598355;-0.0598355;8.45027;844.111;943954;
4.5;13.5451;2.69854e+06;0.0100532;0.0100532;0.0100532;9.30482;852.437;959371;
4.6;13.5451;2.72098e+06;0.0314395;0.0314395;0.0314395;8.97406;858.952;976370;
4.7;13.5451;2.74356e+06;0.0831532;0.0831532;0.0831532;8.98276;865.99;993624;
4.8;13.5451;2.7658e+06;0.0884351;0.0884351;0.0884351;9.06877;873.028;1.01033e+06;
4.9;13.5451;2.78721e+06;0.0425026;0.0425026;0.0425026;9.90446;880.857;1.02469e+06;
5;12.6898;2.80828e+06;-0.046028;-0.046028;-0.046028;8.85096;885.945;1.03903e+06;
5.1;12.6898;2.8232e+06;-0.180038;-0.180038;-0.180038;9.27954;891.186;1.05276e+06;
5.2;12.6898;2.83822e+06;-0.109089;-0.109089;-0.109089;9.32308;895.92;1.06411e+06;
5.3;12.6898;2.85238e+06;-0.070749;-0.070749;-0.070749;9.14427;900.074;1.07368e+06;
5.4;12.6898;2.86622e+06;-0.133627;-0.133627;-0.133627;9.81448;905.316;1.08631e+06;
5.5;12.6898;2.88036e+06;-0.0710071;-0.0710071;-0.0710071;9.55875;909.357;1.09627e+06;
5.6;12.6898;2.89442e+06;0.0684049;0.0684049;0.0684049;9.02549;912.985;1.10703e+06;
5.7;12.6898;2.90765e+06;0.112207;0.112207;0.112207;9.04835;917.131;1.11541e+06;
5.8;12.6898;2.92053e+06;0.0062299;0.0062299;0.0062299;10.2909;922.874;1.1261e+06;
5.9;12.6898;2.93376e+06;-0.02378;-0.02378;-0.02378;9.78168;926.278;1.13592e+06;
6;13.455;2.94736e+06;-0.0811999;-0.0811999;-0.0811999;10.5531;931.582;1.14687e+06;
6.1;13.455;2.96608e+06;-0.0319592;-0.0319592;-0.0319592;9.67926;936.184;1.16129e+06;
6.2;13.455;2.9841e+06;0.0467196;0.0467196;0.0467196;9.18978;941.1;1.17527e+06;
6.3;13.455;3.00222e+06;-0.0308482;-0.0308482;-0.0308482;9.81242;947.609;1.19092e+06;
